Regionally Extinct,Theridiidae,Dipoena,coracina,Dipoena coracina (C.L.Koch  1837),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Dipoena+coracina/o/17/u//x/
Regionally Extinct,Araneidae,Gibbaranea,bituberculata,Gibbaranea bituberculata (Walckenaer  1802),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Gibbaranea+bituberculata/o/17/u//x/
Regionally Extinct,Dictynidae,Mastigusa,arietina,Mastigusa arietina (Thorell  1871),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Mastigusa+arietina/o/17/u//x/
Critically Endangered (Possibly Extinct),Oonopidae,Orchestina,sp.,Orchestina sp.,https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Orchestina+sp./o/17/u//x/
Critically Endangered (Possibly Extinct),Linyphiidae,Centromerus,albidus,Centromerus albidus Simon  1929,https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Centromerus+albidus/o/17/u//x/
Critically Endangered (Possibly Extinct),Linyphiidae,Palliduphantes,antroniensis,Palliduphantes antroniensis (Schenkel  1933),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Palliduphantes+antroniensis/o/17/u//x/
Critically Endangered (Possibly Extinct),Dictynidae,Altella,lucida,Altella lucida (Simon  1874),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Altella+lucida/o/17/u//x/
Critically Endangered (Possibly Extinct),Philodromidae,Thanatus,formicinus,Thanatus formicinus (Clerk  1757),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Thanatus+formicinus/o/17/u//x/
Critically Endangered,Theridiidae,Enoplognatha,oelandica,Enoplognatha oelandica (Thorell  1875),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Enoplognatha+oelandica/o/17/u//x/
Critically Endangered,Theridiidae,Robertus,scoticus,Robertus scoticus Jackson  1914,https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Robertus+scoticus/o/17/u//x/
Critically Endangered,Linyphiidae,Walckenaeria,corniculans,Walckenaeria corniculans (Cambridge  1875),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Walckenaeria+corniculans/o/17/u//x/
Critically Endangered,Linyphiidae,Diplocephalus,connatus,Diplocephalus connatus Bertkau  1889,https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Diplocephalus+connatus/o/17/u//x/
Critically Endangered,Linyphiidae,Typhochrestus,simoni,Typhochrestus simoni de Lessert  1907,https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Typhochrestus+simoni/o/17/u//x/
Critically Endangered,Lycosidae,Alopecosa,fabrilis,Alopecosa fabrilis (Clerck  1757),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Alopecosa+fabrilis/o/17/u//x/
Critically Endangered,Lycosidae,Aulonia,albimana,Aulonia albimana (Walckenaer  1805),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Aulonia+albimana/o/17/u//x/
Critically Endangered,Dictynidae,Dictyna,major,Dictyna major Menge  1869,https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Dictyna+major/o/17/u//x/
Critically Endangered,Zoridae,Zora,armillata,Zora armillata Simon  1878,https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Zora+armillata/o/17/u//x/
Critically Endangered,Zoridae,Zora,silvestris,Zora silvestris Kulczynski  1897,https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Zora+silvestris/o/17/u//x/
Critically Endangered,Thomisidae,Pistius,truncatus,Pistius truncatus (Pallas  1772),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Pistius+truncatus/o/17/u//x/
Critically Endangered,Salticidae,Neon,valentulus,Neon valentulus Falconer  1912,https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Neon+valentulus/o/17/u//x/
Critically Endangered,Salticidae,Sitticus,distinguendus,Sitticus distinguendus (Simon  1868),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Sitticus+distinguendus/o/17/u//x/
Endangered,Theridiidae,Dipoena,prona,Dipoena prona (Menge  1868),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Dipoena+prona/o/17/u//x/
Endangered,Theridiidae,Dipoena,melanogaster,Dipoena melanogaster (C.L.Koch  1837),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Dipoena+melanogaster/o/17/u//x/
Endangered,Linyphiidae,Praestigia,duffeyi,Praestigia duffeyi (Millidge  1954),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Praestigia+duffeyi/o/17/u//x/
Endangered,Linyphiidae,Gonatium,paradoxum,Gonatium paradoxum (L.Koch  1869),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Gonatium+paradoxum/o/17/u//x/
Endangered,Linyphiidae,Pelecopsis,radicicola,Pelecopsis radicicola (L.Koch  1872),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Pelecopsis+radicicola/o/17/u//x/
Endangered,Linyphiidae,Tapinocyba,mitis,Tapinocyba mitis (O.P.-Cambridge  1882),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Tapinocyba+mitis/o/17/u//x/
Endangered,Linyphiidae,Erigone,welchi,Erigone welchi Jackson  1911,https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Erigone+welchi/o/17/u//x/
Endangered,Linyphiidae,Trichopterna,cito,Trichopterna cito (O.P.-Cambridge  1872),https://srs.britishspiders.org.uk/portal.php/p/Distribution/s/Trichopterna+cito/o/17/u//x/
